# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sun Jan 07 12:41:12 MST 2024 [seed=1704656285705]
# -window -working -options
state	joint	prior	likelihood	treeModel.rootHeight	treeLength	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
17000	-7700.587823981421	-18.243516924398854	-7682.344307057022	0.25454756657630645	2.4717354841569934	0.6625214798317246	1.8626073655671	0.2319919642582809	0.2453791182858712	0.1282150975037466	0.3944138199521014	1.0	1.0	-7682.344307057022	0.0	-18.637190924889257
18000	-7707.070846704298	-18.956640205866403	-7688.1142064984315	0.2878191729671952	2.6460617592994002	0.7311483627481175	2.11609380638131	0.24095593138734125	0.23443223812260144	0.12754843203673444	0.39706339845332295	1.0	1.0	-7688.1142064984315	0.0	-19.14981606342459
19000	-7697.825216351829	-18.61092300192376	-7679.214293349905	0.26936686627090733	2.553728900170068	0.8139581451737382	1.9308504475538792	0.24879440024933788	0.23591148323272107	0.1185258550522712	0.39676826146566996	1.0	1.0	-7679.214293349905	0.0	-18.771049052619265
20000	-7706.489566318734	-20.134619914157156	-7686.354946404577	0.2889969247960555	2.7334862727993867	0.8436817454372445	2.1386558906286948	0.23796678998220638	0.23544183203497096	0.13288624653870917	0.3937051314441136	1.0	1.0	-7686.354946404577	0.0	-20.175694950628507
21000	-7700.921711541941	-18.451056625874795	-7682.4706549160655	0.2644719156126486	2.512715878925512	0.9003757777131042	1.9878071531474726	0.2517500437213475	0.24718584382903258	0.11556420994542932	0.38549990250419075	1.0	1.0	-7682.4706549160655	0.0	-18.4873013341367
22000	-7702.102691919751	-18.404198381126648	-7683.6984935386245	0.25929375267307786	2.4895488272762405	0.8757068722154356	1.9755421396190282	0.2464714912212788	0.23365852135285936	0.12142985687680992	0.39844013054905214	1.0	1.0	-7683.6984935386245	0.0	-18.473161159695415
23000	-7703.390735873332	-15.623297840333189	-7687.767438032999	0.2466528513739827	2.325792918041534	0.6976502549915425	1.9626056846750943	0.23965860381403753	0.24722119578240465	0.11322177270584181	0.3998984276977162	1.0	1.0	-7687.767438032999	0.0	-15.924788192265902
24000	-7705.346401879042	-18.256812097751165	-7687.089589781291	0.2744169403246612	2.509742117440206	0.6575513388720876	1.760551967158511	0.23198960841707647	0.23819694984152232	0.11934621178514082	0.4104672299562606	1.0	1.0	-7687.089589781291	0.0	-18.699717076945003
25000	-7702.325211728035	-18.01439170917953	-7684.310820018856	0.2780985226576003	2.5347637564225787	0.7384716133467951	2.002715603281611	0.2255769589224691	0.2599647358501216	0.12176730628960952	0.39269099893780013	1.0	1.0	-7684.310820018856	0.0	-18.242872762778685
26000	-7701.555143183231	-19.4986872959597	-7682.056455887271	0.2539243165641907	2.537298838898793	0.5925541391647859	2.002715603281611	0.2426215345021153	0.250628061555788	0.11233752109628964	0.3944128828458074	1.0	1.0	-7682.056455887271	0.0	-19.94730876958126
